title,genre,runtime,mpaa_rating,release_year,imdb_rating,critics_score,director,actor1,actor2,actor3,actor4,actor5
Filly Brown,Drama,80,R,2013,5.5,45,Michael D. Olmos,Gina Rodriguez,Jenni Rivera,Lou Diamond Phillips,Emilio Rivera,Joseph Julian Soria
The Dish,Drama,101,PG-13,2001,7.3,96,Rob Sitch,Sam Neill,Kevin Harrington,Patrick Warburton,Tom Long,Genevieve Mooy
Waiting for Guffman,Comedy,84,R,1996,7.6,91,Christopher Guest,Christopher Guest,Catherine O'Hara,Parker Posey,Eugene Levy,Bob Balaban
The Age of Innocence,Drama,139,PG,1993,7.2,80,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Richard E. Grant,Alec McCowen
Malevolence,Horror,90,R,2004,5.1,33,Stevan Mena,Samantha Dark,R. Brandon Johnson,Brandon Johnson,Heather Magee,Richard Glover
Old Partner,Documentary,78,Unrated,2009,7.8,91,Chung-ryoul Lee,Choi Won-kyun,Lee Sam-soon,Moo,NA,NA
Lady Jane,Drama,142,PG-13,1986,7.2,57,Trevor Nunn,Cary Elwes,John Wood,Michael Hordern,Jill Bennett II,Helena Bonham Carter
Mad Dog Time,Drama,93,R,1996,5.5,17,Larry Bishop,Richard Dreyfuss,Jeff Goldblum,Gabriel Byrne,Ellen Barkin,Diane Lane
Beauty Is Embarrassing,Documentary,88,Unrated,2012,7.5,90,Neil Berkeley,Paul Reubens,Matt Groening,Todd Oldham,Jonathan Dayton,Cliff Benjamin
The Snowtown Murders,Drama,119,Unrated,2012,6.6,83,Justin Kurzel,Lucas Pittaway,Daniel Henshall,Louise Harris,Craig Coyne,Richard Green
Superman II,Action & Adventure,127,PG,1981,6.8,89,Richard Lester,Christopher Reeve,Gene Hackman,Margot Kidder,Ned Beatty,Jackie Cooper
Leap of Faith,Drama,108,PG-13,1992,6,67,Richard Pearce,Steve Martin,Debra Winger,Lolita Davidovich,Liam Neeson,Lukas Haas
The Royal Tenenbaums,Comedy,110,R,2002,7.6,80,Wes Anderson,Gene Hackman,Anjelica Huston,Gwyneth Paltrow,Ben Stiller,Luke Wilson
School for Scoundrels,Comedy,100,PG-13,2006,5.9,25,Todd Phillips,Billy Bob Thornton,Jon Heder,Jacinda Barrett,Michael Clarke Duncan,Horatio Sanz
Rhinestone,Comedy,111,PG,1984,3.6,15,Bob Clark (III),Dolly Parton,Sylvester Stallone,Richard Farnsworth,Ron Leibman,Tim Thomerson
Burn After Reading,Drama,96,R,2008,7,78,Joel Coen,George Clooney,Frances McDormand,John Malkovich,Brad Pitt,Tilda Swinton
The Doors,Drama,140,R,1991,7.2,54,Oliver Stone,Val Kilmer,Meg Ryan,Kevin Dillon,Kyle MacLachlan,Frank Whaley
The Wood,Drama,106,R,1999,6.9,61,Rick Famuyiwa,Omar Epps,Sean Nelson,Taye Diggs,Trent Cameron,Richard T. Jones
Jason X,Horror,91,R,2002,4.4,19,James Isaac,Kane Hodder,Lexa Doig,Lisa Ryder,Chuck Campbell,Jonathan Potts
Dragon Wars,Drama,90,PG-13,2007,3.6,29,Hyung-rae Shim,Jason Behr,Amanda Brooks,Robert Forster,Aimee Garcia,Craig Robinson
Fallen,Drama,124,R,1997,7,40,Gregory Hoblit,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,James Gandolfini
The Gleaners and I,Documentary,82,Unrated,2001,7.6,92,Agnes Varda,Bodan Litnanski,Francois Wertheimer,Agnes Varda,Margaret Dumont,Virginia Grey
Tamara Drewe,Drama,107,R,2010,6.2,66,Stephen Frears,Gemma Arterton,Roger Allam,Bill Camp,Dominic Cooper,Luke Evans
Not Without My Daughter,Drama,116,PG-13,1991,6.2,47,Brian Gilbert,Sally Field,Alfred Molina,Sheila Rosenthal,Roshan Seth,Sarah Badel
The Yes Men Fix the World,Documentary,87,Unrated,2009,7.6,79,Andy Bichlbaum,Andy Bichlbaum,Reggie Waits,Mike Bonanno,NA,NA
"Oh, God! You Devil",Comedy,97,PG,1984,5.3,40,Paul Bogart,George Burns,Ted Wass,Roxanne Hart,Eugene Roche,John Doolittle
Meet Joe Black,Drama,178,PG-13,1998,7.1,51,Martin Brest,Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber,Marcia Gay Harden
The Bay,Horror,84,R,2012,5.6,77,Barry Levinson,Kristen Connolly,Will Rogers (IV),Kether Donohue,Frank Deal,Stephen Kunken
Scandal,Art House & International,115,R,1989,6.4,91,Michael Caton-Jones,John Hurt,Joanne Whalley,Bridget Fonda,Ian McKellen,Leslie Phillips
Imagine: John Lennon,Musical & Performing Arts,100,R,1988,7.9,92,Andrew Solt,John Lennon,Dick Cavett,Desire de Freitas,Mary Elizabeth Smith,Jane Forth
Locke,Mystery & Suspense,85,R,2014,7.1,91,Steven Knight,Tom Hardy,Tom Holland (X),Bill Milner,Andrew Scott,Ruth Wilson
The Spongebob Squarepants Movie,Animation,87,PG,2004,7,68,Sherm Cohen,Bill Fagerbakke,Mr. Lawrence,Carolyn Lawrence,Rodger Bumpass,Spongebob Squarepants
The Muppet Christmas Carol,Science Fiction & Fantasy,85,G,1992,7.7,69,Brian Henson,Michael Caine,Steve Whitmire,Frank Oz,Dave Goelz,Jerry Nelson
Die Hard 2,Mystery & Suspense,124,R,1990,7.1,69,Renny Harlin,Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson,Franco Nero
The Reckoning,Documentary,112,R,2004,6.6,40,Pamela Yates,Paul Bettany,Willem Dafoe,Simon McBurney,Ewen Bremner,Gina McKee
Alice in Wonderland,Action & Adventure,108,PG,2010,6.5,52,Tim Burton,Johnny Depp,Mia Wasikowska,Anne Hathaway,Helena Bonham Carter,Matt Lucas
I'm Not There,Drama,135,R,2007,7,76,Todd Haynes,Cate Blanchett,Christian Bale,Richard Gere,Heath Ledger,Marcus Carl Franklin
Three Wishes,Drama,115,PG,1995,6.1,13,Martha Coolidge,Patrick Swayze,Mary Elizabeth Mastrantonio,Joe Mazzello,Seth Mumy,David Marshall Grant
Aliens,Action & Adventure,137,R,1986,8.4,98,James Cameron,Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser,Bill Paxton
Driving Miss Daisy,Drama,99,PG,1989,7.4,81,Bruce Beresford,Jessica Tandy,Morgan Freeman,Dan Aykroyd,Patti LuPone,Esther Rolle
Max,Drama,106,R,2002,6.6,69,Menno Meyjes,John Cusack,Noah Taylor,Leelee Sobieski,Molly Parker,Ulrich Thomsen
Serpico,Drama,130,R,1973,7.8,90,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Tony Roberts,Biff McGuire
Basic,Drama,98,R,2003,6.5,21,John McTiernan,John Travolta,Connie Nielsen,Samuel L. Jackson,Tim Daly,Taye Diggs
The Guru,Comedy,94,R,2002,5.4,57,Daisy von Scherler Mayer,Jimi Mistry,Heather Graham,Marisa Tomei,Michael McKean,Dash Mihok
The Color Purple,Drama,154,PG-13,1985,7.8,88,Steven Spielberg,Whoopi Goldberg,Danny Glover,Margaret Avery,Oprah Winfrey,Willard E. Pugh
The Dream Team,Comedy,113,PG-13,1989,6.5,54,Howard Zieff,Michael Keaton,Christopher Lloyd,Peter Boyle,Stephen Furst,Dennis Boutsikaris
The Man Without a Face,Drama,115,PG-13,1993,6.7,67,Mel Gibson,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,Gaby Hoffmann
The White Countess,Drama,135,PG-13,2005,6.7,50,James Ivory,Ralph Fiennes,Natasha Richardson,Vanessa Redgrave,Lynn Redgrave,Madeleine Potter
Viva Knievel!,Drama,106,PG,1977,2.7,17,Gordon Douglas,Evel Knievel,Lauren Hutton,Gene Kelly,Red Buttons,Leslie Nielsen
Rising Sun,Drama,125,R,1993,6.2,35,Philip Kaufman,Sean Connery,Wesley Snipes,Harvey Keitel,Kevin Anderson,Mako
Mojados: Through the Night,Documentary,65,Unrated,2004,7.3,73,Tommy Davis,Tommy Davis,Guapo,Oso,Tigre,Viejo
Seven Pounds,Drama,123,PG-13,2008,7.7,27,Gabriele Muccino,Rosario Dawson,Woody Harrelson,Michael Ealy,Barry Pepper,Elpidia Carrillo
The Mothman Prophecies,Mystery & Suspense,119,PG-13,2002,6.5,52,Mark Pellington,Richard Gere,Laura Linney,Debra Messing,Will Patton,Lucinda Jenney
Breaking and Entering,Drama,120,R,2007,6.6,34,Anthony Minghella,Jude Law,Juliette Binoche,Robin Wright,Martin Freeman,Ray Winstone
The English Patient,Drama,162,R,1996,7.4,84,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Colin Firth
Heaven & Earth,Drama,140,R,1994,6.8,44,Oliver Stone,Tommy Lee Jones,Hiep Thi Le,Joan Chen,Dr. Haing S. Ngor,Debbie Reynolds
The Last Kiss,Drama,115,R,2006,6.5,46,Tony Goldwyn,Zach Braff,Jacinda Barrett,Casey Affleck,Rachel Bilson,Michael Weston
Three of Hearts,Drama,102,R,1993,5.5,56,Yurek Bogayevicz,William Baldwin,Kelly Lynch,Sherilyn Fenn,Joe Pantoliano,Gail Strickland
The Tortured,Mystery & Suspense,79,R,2012,5.5,6,Robert Lieberman,Erika Christensen,Jesse Metcalfe,Bill Moseley,Fulvio Cecere,Bill Lippincott
The Package,Mystery & Suspense,108,R,1989,6.4,64,Andrew Davis,Gene Hackman,Joanna Cassidy,Tommy Lee Jones,John Heard,Kevin Crowley
"Happy, Texas",Comedy,98,PG-13,1999,6.3,81,Mark Illsley,Jeremy Northam,Steve Zahn,Ally Walker,Illeana Douglas,William H. Macy
Then She Found Me,Drama,100,R,2007,6,50,Helen Hunt,Helen Hunt,Bette Midler,Colin Firth,Matthew Broderick,Ben Shenkman
Promises,Documentary,106,Unrated,2002,8.5,96,B.Z. Goldberg,Yarko,Daniel,Mahmoud,Shlomo,Sanabel Cherqaoui
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,92,Unrated,2009,7.8,96,Judith Ehrlich,Daniel Ellsberg,Patricia Marx Ellsberg,Richard Falk,Thomas Schelling,Thomas Oliphant
The Recruit,Mystery & Suspense,115,PG-13,2003,6.6,43,Roger Donaldson,Al Pacino,Colin Farrell,Bridget Moynahan,Gabriel Macht,Mike Realba
Alvin and the Chipmunks: Chipwrecked,Animation,87,G,2011,4.4,12,Mike Mitchell (VI),Jason Lee,Justin Long,Jesse McCartney,Anna Faris,Christina Applegate
